"Number","Precinct","Gender","Race","Age","Bias.Motivation"
1,1,"Male","White",40,"Anit-Other Religion"
2,1,"Male","Black",29,"Anti-White"
3,6,"Male","White",48,"Anti-Asian"
4,6,"Male","White",32,"Anti-LGBT"
5,6,"Male","White",59,"Anti-Black"
6,7,"Male","Black",25,"Anti-Islamic (Muslim)"
7,7,"Male","White",23,"Anti-Black"
8,7,"Male","White",29,"Anti-White"
9,7,"Male","White",21,"Anti-Black"
10,7,"Male","White",23,"Anti-Black"
11,9,"Male","Black",26,"Anti-LGBT"
12,9,"Male","Asian",20,"Anti-LGBT"
13,9,"Male","White",18,"Anti-LGBT"
14,13,"Male","White",28,"Undetermind"
15,13,"Male","Black",32,"Anti-Jewish"
16,13,"Male","Black",24,"Anti-Gender Non-Conforming"
17,14,"Male","Black",50,"Anti-LGBT"
18,14,"Male","Black",18,"Anti-White"
19,14,"Male","White",26,"Anti-LGBT"
20,14,"Male","White",28,"Anti-Black"
21,14,"Female","White",21,"Anti-Islamic (Muslim)"
22,14,"Male","White",64,"Anti-Jewish"
23,17,"Female","Black",54,"Anti-White"
24,17,"Male","Black",32,"Anti-Jewish"
25,17,"Male","White",48,"Anti-Islamic (Muslim)"
26,18,"Male","White",23,"Anti-Black"
27,18,"Male","Black",30,"Anit-Other Religion"
28,19,"Male","White",53,"Anti-Other Ethnicity"
29,19,"Male","Black",38,"Anti-Islamic (Muslim)"
30,20,"Male","White",22,"Anti-White"
31,22,"Male","White",33,"Anti-Black"
32,23,"Male","Black",12,"Anti-Jewish"
33,23,"Male","Black",12,"Anti-Jewish"
34,23,"Male","Black",30,"Anti-LGBT"
35,23,"Male","White",12,"Anti-Jewish"
36,24,"Male","Black",25,"Anti-Islamic (Muslim)"
37,26,"Male","Black",14,"Anti-LGBT"
38,26,"Male","Black",13,"Anti-LGBT"
39,28,"Male","White",39,"Anti-Jewish"
40,28,"Female","Black",38,"Anti-Jewish"
41,30,"Male","Black",57,"Anti-LGBT"
42,34,"Male","Black",14,"Anti-LGBT"
43,41,"Male","White",13,"Anti-Islamic (Muslim)"
44,42,"Male","Black",22,"Anti-LGBT"
45,44,"Male","Black",16,"Anti-White"
46,44,"Male","Black",16,"Anti-White"
47,44,"Male","Black",61,"Anti-Jewish"
48,46,"Male","Black",14,"Anti-LGBT"
49,48,"Male","Black",24,"Anti-LGBT"
50,49,"Male","Black",31,"Anti-Islamic (Muslim)"
51,50,"Male","Black",16,"Anti-Jewish"
52,52,"Male","White",41,"Anti-Jewish"
53,52,"Male","Black",40,"Anti-LGBT"
54,60,"Male","Black",37,"Anti-LGBT"
55,60,"Male","Black",32,"Anti-LGBT"
56,61,"Male","White",25,"Anti-Black"
57,61,"Male","Black",16,"Anti-Other Ethnicity"
58,61,"Male","White",36,"Anti-Islamic (Muslim)"
59,61,"Male","White",50,"Anti-Black"
60,61,"Male","White",25,"Anti-Black"
61,61,"Male","Black",12,"Anti-Asian"
62,61,"Male","White",40,"Anti-Islamic (Muslim)"
63,61,"Male","White",27,"Anti-Black"
64,62,"Male","White",28,"Anti-Other Ethnicity"
65,63,"Male","White",45,"Anti-Jewish"
66,66,"Male","White",27,"Anti-Islamic (Muslim)"
67,66,"Male","Asian",37,"Anti-Islamic (Muslim)"
68,70,"Male","Black",28,"Anti-Jewish"
69,70,"Male","White",37,"Anti-Islamic (Muslim)"
70,70,"Male","Black",27,"Anti-Jewish"
71,70,"Male","White",37,"Anti-Islamic (Muslim)"
72,70,"Male","White",38,"Anti-Islamic (Muslim)"
73,70,"Male","Black",19,"Anti-Islamic (Muslim)"
74,71,"Male","Unknown",18,"Anti-Jewish"
75,71,"Male","Black",37,"Anti-Jewish"
76,71,"Male","Black",11,"Anti-Jewish"
77,71,"Male","Black",30,"Anti-Jewish"
78,71,"Male","Black",38,"Anti-LGBT"
79,71,"Female","White",26,"Anti-Jewish"
80,72,"Male","Asian",37,"Anti-Islamic (Muslim)"
81,75,"Male","Black",26,"Anti-LGBT"
82,75,"Male","White",17,"Anti-Islamic (Muslim)"
83,75,"Male","White",28,"Anit-Other Religion"
84,75,"Male","Black",28,"Anti-Hispanic"
85,77,"Male","Black",56,"Anit-Other Religion"
86,79,"Male","Black",72,"Anti-LGBT"
87,79,"Male","Black",18,"Anti-Jewish"
88,79,"Male","Black",32,"Anti-LGBT"
89,79,"Male","Asian",79,"Anti-Jewish"
90,81,"Female","Black",37,"Anti-LGBT"
91,81,"Male","Black",39,"Anti-Gender Non-Conforming"
92,81,"Female","Black",37,"Anti-LGBT"
93,83,"Male","Black",41,"Anti-LGBT"
94,83,"Male","White",37,"Anti-Black"
95,83,"Male","White",16,"Anti-Islamic (Muslim)"
96,83,"Female","White",36,"Anti-LGBT"
97,84,"Male","Black",27,"Anti-LGBT"
98,84,"Male","White",36,"Anti-Black"
99,84,"Male","Black",28,"Anti-LGBT"
100,88,"Male","Black",60,"Anti-LGBT"
101,90,"Female","White",20,"Anti-Jewish"
102,90,"Male","White",13,"Anti-LGBT"
103,90,"Male","White",15,"Anti-LGBT"
104,90,"Female","Black",36,"Anti-LGBT"
105,94,"Male","White",32,"Anti-LGBT"
106,102,"Male","Black",34,"Anti-White"
107,103,"Male","White",50,"Anti-LGBT"
108,103,"Male","Black",35,"Anti-LGBT"
109,104,"Male","White",22,"Anit-Other Religion"
110,104,"Male","White",21,"Anit-Other Religion"
111,104,"Male","White",21,"Anit-Other Religion"
112,107,"Male","Asian",21,"Anti-Other Ethnicity"
113,107,"Male","Black",28,"Anti-Asian"
114,108,"Male","White",52,"Anti-Black"
115,109,"Male","Asian",15,"Anti-Islamic (Muslim)"
116,110,"Male","White",29,"Anti-60 Years old or more"
117,110,"Male","White",23,"Anit-Other Religion"
118,110,"Female","White",28,"Anti-60 Years old or more"
119,112,"Male","White",40,"Anti-Islamic (Muslim)"
120,112,"Male","Black",39,"Anti-Other Ethnicity"
121,113,"Male","Black",15,"Anti-Islamic (Muslim)"
