PRECINCT,60 YEARS OLD OR MORE,ANTI-ARAB,ANTI-ASIAN,ANTI-BLACK,ANTI-CATHOLIC,ANTI-FEMALE,"ANTI-FEMALE HOMOSEXUAL
(GAY)",ANTI-GENDER NON CONFORMING,ANTI-HINDU,ANTI-HISPANIC,"ANTI-ISLAMIC
(MUSLIM)",ANTI-JEWISH,"ANTI-LGBT
(MIXED GROUP)","ANTI-MALE HOMOSEXUAL
(GAY)",ANTI-MULTI RACIAL GROUPS,ANTI-OTHER ETHNICITY,ANTI-RELIGIOUS PRACTICE GENERALLY,ANTI-TRANSGENDER,ANTI-WHITE,Total
001,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4
005,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5
006,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
007,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5
009,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
010,0,0,1,4,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14
013,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7
014,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
017,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
018,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,4
019,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
020,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
023,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
024,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4
025,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
026,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
030,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4
032,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
040,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
043,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
044,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,6
045,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
