Precinct,Murder Complaints,Felony Assault Complaints
001,0.0,0.0
005,0.0,0.0
006,0.0,0.0
007,0.0,0.0
009,0.0,1.0
010,0.0,1.0
013,0.0,1.0
014,0.0,0.0
017,0.0,1.0
018,0.0,1.0
019,0.0,0.0
020,0.0,0.0
022,0.0,0.0
023,0.0,0.0
024,0.0,0.0
025,0.0,0.0
026,0.0,0.0
028,0.0,0.0
030,0.0,1.0
032,0.0,0.0
033,0.0,0.0
034,0.0,0.0
040,0.0,1.0
041,0.0,0.0
042,0.0,0.0
043,0.0,0.0
044,0.0,1.0
045,0.0,0.0
046,0.0,0.0
047,0.0,0.0
048,0.0,0.0
049,0.0,0.0
050,0.0,0.0
052,0.0,0.0
060,0.0,0.0
061,0.0,0.0
062,0.0,0.0
063,0.0,0.0
066,0.0,0.0
067,0.0,0.0
068,0.0,0.0
069,0.0,0.0
070,0.0,1.0
071,0.0,0.0
072,0.0,0.0
073,0.0,0.0
075,0.0,1.0
076,0.0,0.0
077,0.0,0.0
078,0.0,0.0
079,0.0,1.0
081,0.0,0.0
083,0.0,0.0
084,0.0,1.0
088,0.0,1.0
090,0.0,2.0
094,0.0,1.0
100,0.0,0.0
101,1.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,1.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,1.0
113,0.0,0.0
114,0.0,2.0
115,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
